,LN
195,grant
196,dunn
197,kelley
198,spencer
199,hawkins
200,arnold
201,pierce
202,vazquez
203,hansen
204,peters
205,santos
206,hart
207,bradley
208,knight
209,elliott
210,cunningham
211,duncan
212,armstrong
213,hudson
214,carroll
215,lane
216,riley
217,andrews
218,alvarado
219,ray
220,delgado
221,berry
222,perkins
223,hoffman
224,johnston
225,matthews
226,pena
227,richards
228,contreras
229,willis
230,carpenter
231,lawrence
232,sandoval
233,guerrero
234,george
235,chapman
236,rios
237,estrada
238,ortega
239,watkins
240,greene
241,nunez
242,wheeler
243,valdez
244,harper
245,burke
246,larson
247,santiago
248,maldonado
249,morrison
250,franklin
251,carlson
252,austin
253,dominguez
254,carr
255,lawson
256,jacobs
257,obrien
258,lynch
259,singh
260,vega
261,bishop
262,montgomery
263,oliver
264,jensen
265,harvey
266,williamson
267,gilbert
268,dean
269,sims
270,espinoza
271,howell
272,li
273,wong
274,reid
275,hanson
276,le
277,mccoy
278,garrett
279,burton
280,fuller
281,wang
282,weber
283,welch
284,rojas
285,lucas
286,marquez
287,fields
288,park
289,yang
290,little
291,banks
292,padilla
293,day
294,walsh
295,bowman
296,schultz
297,luna
298,fowler
299,mejia
300,davidson
301,acosta
302,brewer
303,may
304,holland
305,juarez
306,newman
307,pearson
308,curtis
309,cortez
310,douglas
311,schneider
312,joseph
313,barrett
314,navarro
315,figueroa
316,keller
317,avila
318,wade
319,molina
320,stanley
321,hopkins
322,campos
323,barnett
324,bates
325,chambers
326,caldwell
327,beck
328,lambert
329,miranda
330,byrd
331,craig
332,ayala
333,lowe
334,frazier
335,powers
336,neal
337,leonard
338,gregory
339,carrillo
340,sutton
341,fleming
342,rhodes
343,shelton
344,schwartz
345,norris
346,jennings
347,watts
348,duran
349,walters
350,cohen
351,mcdaniel
352,moran
353,parks
354,steele
355,vaughn
356,becker
357,holt
358,deleon
359,barker
360,terry
361,hale
362,leon
363,hail
364,benson
365,haynes
366,horton
367,miles
368,lyons
369,pham
370,graves
371,bush
372,thornton
373,wolfe
374,warner
375,cabrera
376,mckinney
377,mann
378,zimmerman
379,dawson
380,lara
381,fletcher
382,page
383,mccarthy
384,love
385,robles
386,cervantes
387,solis
388,erickson
389,reeves
390,chang
391,klein
392,salinas
393,fuentes
394,baldwin
395,daniel
396,simon
397,velasquez
398,hardy
399,higgins
400,aguirre
401,lin
402,cummings
403,chandler
404,sharp
405,barber
406,bowen
407,ochoa
408,dennis
409,robbins
410,liu
411,ramsey
412,francis
413,griffith
414,paul
415,blair
416,oconnor
417,cardenas
418,pacheco
419,cross
420,calderon
421,quinn
422,moss
423,swanson
424,chan
425,rivas
426,khan
427,rodgers
428,serrano
429,fitzgerald
430,rosales
431,stevenson
432,christensen
433,manning
434,gill
435,curry
436,mclaughlin
437,harmon
438,mcgee
439,gross
440,doyle
441,garner
442,newton
443,burgess
444,reese
445,walton
446,blake
447,trujillo
448,adkins
449,brady
450,goodman
451,roman
452,webster
453,goodwin
454,fischer
455,huang
456,potter
457,delacruz
458,montoya
459,todd
460,wu
461,hines
462,mullins
463,castaneda
464,malone
465,cannon
466,tate
467,mack
468,sherman
469,hubbard
470,hodges
471,zhang
472,guerra
473,wolf
474,valencia
475,saunders
476,franco
477,rowe
478,gallagher
479,farmer
480,hammond
481,hampton
482,townsend
483,ingram
484,wise
485,gallegos
486,clarke
487,barton
488,schroeder
489,maxwell
490,waters
491,logan
492,camacho
493,strickland
494,norman
495,person
496,colon
497,parsons
498,frank
499,harrington
500,glover
501,osborne
502,buchanan
503,casey
504,floyd
505,patton
506,ibarra
507,ball
508,tyler
509,suarez
510,bowers
511,orozco
512,salas
513,cobb
514,gibbs
515,andrade
516,bauer
517,conner
518,moody
519,escobar
520,mcguire
521,lloyd
522,mueller
523,hartman
524,french
525,kramer
526,mcbride
527,pope
528,lindsey
529,velazquez
530,norton
531,mccormick
532,sparks
533,flynn
534,yates
535,hogan
536,marsh
537,macias
538,villanueva
539,zamora
540,pratt
541,stokes
542,owen
543,ballard
544,lang
545,brock
546,villarreal
547,charles
548,drake
549,barrera
550,cain
551,patrick
552,pineda
553,burnett
554,mercado
555,santana
556,shepherd
557,bautista
558,ali
559,shaffer
560,lamb
561,trevino
562,mckenzie
563,hess
564,beil
565,olsen
566,cochran
567,morton
568,nash
569,wilkins
570,petersen
571,briggs
572,shah
573,roth
574,nicholson
575,holloway
576,lozano
577,rangel
578,flowers
579,hoover
580,short
581,arias
582,mora
583,valenzuela
584,bryan
585,meyers
586,weiss
587,underwood
588,bass
589,greer
590,summers
591,houston
592,carson
593,morrow
594,clayton
595,whitaker
596,decker
597,yoder
598,collier
599,zuniga
600,carey
601,wilcox
602,melendez
603,poole
604,roberson
605,larsen
606,conley
607,davenport
608,copeland
609,massey
610,lam
611,huff
612,rocha
613,cameron
614,jefferson
615,hood
616,monroe
617,anthony
618,pittman
619,huynh
620,randall
621,singleton
622,kirk
623,combs
624,mathis
625,christian
626,skinner
627,bradford
628,richard
629,galvan
630,wall
631,boone
632,kirby
633,wilkinson
634,bridges
635,bruce
636,atkinson
637,velez
638,meza
639,roy
640,vincent
641,york
642,hodge
643,villa
644,abbott
645,allison
646,tapia
647,gates
648,chase
649,sosa
650,sweeney
651,farrell
652,wyatt
653,dalton
654,horn
655,barron
656,phelps
657,yu
658,dickerson
659,heath
660,foley
661,atkins
662,mathews
663,bonilla
664,acevedo
665,benitez
666,zavala
667,hensley
668,glenn
669,cisneros
670,harrell
671,shields
672,rubio
673,huffman
674,choi
675,boyer
676,garrison
677,arroyo
678,bond
679,kane
680,hancock
681,callahan
682,dillon
683,cline
684,wiggins
685,grimes
686,arellano
687,melton
688,oneill
689,savage
690,ho
691,beltran
692,pitts
693,parrish
694,ponce
695,rich
696,booth
697,koch
698,golden
699,ware
700,brennan
701,mcdowell
702,marks
703,cantu
704,humphrey
705,baxter
706,sawyer
707,clay
708,tanner
709,hutchinson
710,kaur
711,berg
712,wiley
713,gilmore
714,russo
715,villegas
716,hobbs
717,keith
718,wilkerson
719,ahmed
720,beard
721,mcclain
722,montes
723,mata
724,rosario
725,vang
726,walter
727,henson
728,oneal
729,mosley
730,mcclure
731,beasley
732,stephenson
733,snow
734,huerta
735,preston
736,vance
737,barry
738,johns
739,eaton
740,blackwell
741,dyer
742,prince
743,macdonald
744,solomon
745,guevara
746,stafford
747,english
748,hurst
749,woodard
750,cortes
751,shannon
752,kemp
753,nolan
754,mccullough
755,merritt
756,murillo
757,moon
758,salgado
759,strong
760,kline
761,cordova
762,barajas
763,roach
764,rosas
765,winters
766,jacobson
767,lester
768,knox
769,bullock
770,kerr
771,leach
772,meadows
773,orr
774,davila
775,whitehead
776,pruitt
777,kent
778,conway
779,mckee
780,barr
781,david
782,dejesus
783,marin
784,berger
785,mcintyre
786,blankenship
787,gaines
788,palacios
789,cuevas
790,bartlett
791,durham
792,dorsey
793,mccall
794,odonnell
795,stein
796,browning
797,stout
798,lowery
799,sloan
800,mclean
801,hendricks
802,calhoun
803,sexton
804,chung
805,gentry
806,hull
807,duarte
808,ellison
809,nielsen
810,gillespie
811,buck
812,middleton
813,sellers
814,leblanc
815,esparza
816,hardin
817,bradshaw
818,mcintosh
819,howe
820,livingston
821,frost
822,glass
823,morse
824,knapp
825,herman
826,stark
827,bravo
828,noble
829,spears
830,weeks
831,corona
832,frederick
833,buckley
834,mcfarland
835,hebert
836,enriquez
837,hickman
838,quintero
839,randolph
840,schaefer
841,walls
842,trejo
843,house
844,reilly
845,pennington
846,michael
847,conrad
848,giles
849,benjamin
850,crosby
851,fitzpatrick
852,donovan
853,mays
854,mahoney
855,valentine
856,raymond
857,medrano
858,hahn
859,mcmillan
860,small
861,bentley
862,felix
863,peck
864,lucero
865,boyle
866,hanna
867,pace
868,rush
869,hurley
870,harding
871,mcconnell
872,bernal
873,nava
874,ayers
875,everett
876,ventura
877,avery
878,pugh
879,mayer
880,bender
881,shepard
882,mcmahon
883,landry
884,case
885,sampson
886,moses
887,magana
888,blackburn
889,dunlap
890,gould
891,duffy
892,vaughan
893,herring
894,mckay
895,espinosa
896,rivers
897,farley
898,bernard
899,ashley
900,friedman
901,potts
902,truong
903,costa
904,correa
905,blevins
906,nixon
907,clements
908,fry
909,delarosa
910,best
911,benton
912,lugo
913,portillo
914,dougherty
915,crane
916,haley
917,phan
918,villalobos
919,blanchard
920,horne
921,finley
922,quintana
923,lynn
924,esquivel
925,bean
926,dodson
927,mullen
928,xiong
929,hayden
930,cano
931,levy
932,huber
933,richmond
934,moyer
935,lim
936,frye
937,sheppard
938,mccarty
939,avalos
940,booker
941,waller
942,parra
943,woodward
944,jaramillo
945,krueger
946,rasmussen
947,brandt
948,peralta
949,donaldson
950,stuart
951,faulkner
952,maynard
953,galindo
954,coffey
955,estes
956,sanford
957,burch
958,maddox
959,vo
960,oconnell
961,vu
962,andersen
963,spence
964,mcpherson
965,church
966,schmitt
967,stanton
968,leal
969,cherry
970,compton
971,dudley
972,sierra
973,pollard
974,alfaro
975,hester
976,proctor
977,lu
978,hinton
979,novak
980,good
981,madden
982,mccann
983,terrell
984,jarvis
985,dickson
986,reyna
987,cantrell
988,mayo
989,branch
990,hendrix
991,rollins
992,rowland
993,whitney
994,duke
995,odom
996,daugherty
997,travis
998,tang
999,archer
